Suspicious Path Analysis Log
Scan Time: 2026-06-17 11:04:46.251736
=================================================================

ALL PROCESS PATHS:
-----------------------------------------------------------------
PID:14928 | mscopilot.exe | Trusted | C:\Program Files (x86)\Microsoft\Copilot\Application\mscopilot.exe
PID:15068 | msedgewebview2.exe | Trusted | C:\Program Files (x86)\Microsoft\EdgeWebView\Application\149.0.4022.69\msedgewebview2.exe
PID:15288 | csrss.exe | Trusted | C:\Windows\System32\csrss.exe
PID:15292 | msedge.exe | Trusted | C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe
PID:15472 | chrome.exe | Trusted | C:\Program Files\Google\Chrome\Application\chrome.exe
PID:15544 | powershell.exe | Trusted | C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
PID:15548 | chrome.exe | Trusted | C:\Program Files\Google\Chrome\Application\chrome.exe
PID:15732 | svchost.exe | Trusted | C:\Windows\System32\svchost.exe
PID:15884 | backgroundTaskHost.exe | Trusted | C:\Windows\System32\backgroundTaskHost.exe
PID:15908 | OpenConsole.exe | Unknown | D:\VS CODE\Microsoft VS Code\6928394f91\resources\app\node_modules\node-pty\build\Release\conpty\OpenConsole.exe
PID:15952 | msedge.exe | Trusted | C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe
PID:15996 | RuntimeBroker.exe | Trusted | C:\Windows\System32\RuntimeBroker.exe
PID:16312 | msedge.exe | Trusted | C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe
PID:16424 | SecurityHealthService.exe | Trusted | C:\Windows\System32\SecurityHealthService.exe
PID:16572 | AppActions.exe | Trusted | C:\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\AppActions.exe
PID:16744 | svchost.exe | Trusted | C:\Windows\System32\svchost.exe
PID:16908 | svchost.exe | Trusted | C:\Windows\System32\svchost.exe
PID:16940 | RuntimeBroker.exe | Trusted | C:\Windows\System32\RuntimeBroker.exe
PID:16964 | ai.exe | Trusted | C:\Program Files\Microsoft Office\root\vfs\ProgramFilesCommonX64\Microsoft Shared\Office16\AI\ai.exe
PID:17096 | Code.exe | Unknown | D:\VS CODE\Microsoft VS Code\Code.exe
PID:17240 | msedgewebview2.exe | Trusted | C:\Program Files (x86)\Microsoft\EdgeWebView\Application\149.0.4022.69\msedgewebview2.exe
PID:17532 | msedgewebview2.exe | Trusted | C:\Program Files (x86)\Microsoft\EdgeWebView\Application\149.0.4022.69\msedgewebview2.exe
PID:17612 | svchost.exe | Trusted | C:\Windows\System32\svchost.exe
PID:17656 | msedge.exe | Trusted | C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe
